Year,Month,Rainfall
1972,January,9.1
1973,January,4.3
1974,January,11.4
1975,January,7.3
1976,January,4.4
1977,January,3.9
1978,January,6.2
1979,January,5.1
1980,January,1.9
1981,January,7.3
1982,January,5.4
1983,January,4.0
1984,January,8.1
1985,January,2.5
1986,January,4.8
1987,January,2.7
1988,January,8.9
1989,January,6.8
1990,January,11.7
1991,January,7.2
1992,January,13.3
1993,January,8.2
1994,January,5.7
1995,January,8.1
1996,January,16.3
1997,January,9.2
1998,January,9.7
1999,January,6.8
2000,January,6.8
2001,January,5.5
2002,January,6.9
2003,January,6.3
2004,January,7.2
2005,January,12.4
2006,January,12.3
2007,January,1.8
2008,January,14.0
2009,January,5.5
2010,January,6.4
2011,January,1.9
2012,January,7.5
2013,January,5.5
2014,January,5.9
2015,January,6.6
2016,January,4.3
2017,January,4.5
1972,February,7.1
1973,February,6.5
1974,February,2.5
1975,February,3.5
1976,February,7.7
1977,February,2.4
1978,February,5.2
1979,February,4.8
1980,February,4.5
1981,February,4.0
1982,February,12.3
1983,February,1.7
1984,February,7.8
1985,February,6.0
1986,February,2.1
1987,February,1.8
1988,February,7.1
1989,February,7.1
1990,February,8.0
1991,February,10.1
1992,February,3.9
1993,February,6.5
1994,February,2.6
1995,February,3.9
1996,February,3.5
1997,February,9.2
1998,February,2.4
1999,February,4.9
2000,February,6.7
2001,February,4.9
2002,February,4.5
2003,February,3.2
2004,February,4.7
2005,February,1.5
2006,February,1.3
2007,February,2.2
2008,February,4.0
2009,February,3.0
2010,February,1.9
2011,February,6.2
2012,February,3.9
2013,February,4.6
2014,February,6.5
2015,February,13.0
2016,February,3.8
2017,February,9.0
1972,March,13.4
1973,March,3.2
1974,March,4.1
1975,March,10.0
1976,March,4.0
1977,March,2.6
1978,March,10.7
1979,March,11.0
1980,March,5.5
1981,March,0.4
1982,March,2.2
1983,March,0.6
1984,March,4.0
1985,March,5.8
1986,March,2.1
1987,March,6.3
1988,March,2.3
1989,March,7.8
1990,March,3.4
1991,March,4.7
1992,March,2.6
1993,March,2.1
1994,March,8.5
1995,March,2.1
1996,March,9.6
1997,March,3.2
1998,March,6.7
1999,March,5.4
2000,March,2.6
2001,March,5.0
2002,March,9.1
2003,March,2.8
2004,March,11.3
2005,March,0.4
2006,March,2.7
2007,March,5.5
2008,March,3.9
2009,March,5.4
2010,March,5.1
2011,March,2.0
2012,March,4.6
2013,March,4.7
2014,March,3.8
2015,March,3.4
2016,March,7.5
2017,March,5.9
1972,April,9.2
1973,April,6.4
1974,April,9.7
1975,April,4.4
1976,April,7.6
1977,April,6.2
1978,April,13.3
1979,April,8.8
1980,April,9.3
1981,April,12.0
1982,April,4.8
1983,April,34.5
1984,April,3.0
1985,April,4.7
1986,April,23.5
1987,April,4.1
1988,April,4.0
1989,April,2.9
1990,April,4.4
1991,April,6.9
1992,April,6.1
1993,April,8.9
1994,April,11.2
1995,April,0.2
1996,April,9.0
1997,April,0.8
1998,April,11.8
1999,April,5.6
2000,April,9.0
2001,April,11.8
2002,April,8.5
2003,April,24.5
2004,April,0.5
2005,April,10.5
2006,April,8.1
2007,April,25.1
2008,April,10.4
2009,April,1.6
2010,April,4.8
2011,April,5.2
2012,April,4.4
2013,April,3.1
2014,April,5.2
2015,April,1.4
2016,April,7.7
2017,April,4.1
1972,May,3.4
1973,May,6.4
1974,May,4.0
1975,May,5.4
1976,May,5.6
1977,May,6.6
1978,May,9.2
1979,May,33.9
1980,May,14.4
1981,May,35.2
1982,May,24.0
1983,May,10.1
1984,May,4.9
1985,May,10.2
1986,May,30.2
1987,May,21.6
1988,May,4.6
1989,May,7.0
1990,May,3.3
1991,May,5.6
1992,May,17.8
1993,May,11.5
1994,May,1.4
1995,May,3.1
1996,May,6.9
1997,May,3.0
1998,May,10.7
1999,May,1.9
2000,May,10.5
2001,May,10.5
2002,May,3.0
2003,May,3.0
2004,May,14.6
2005,May,10.4
2006,May,7.5
2007,May,8.5
2008,May,2.6
2009,May,31.5
2010,May,21.2
2011,May,21.9
2012,May,10.3
2013,May,19.3
2014,May,29.0
2015,May,0.4
2016,May,7.3
2017,May,13.8
1972,June,6.7
1973,June,7.3
1974,June,2.2
1975,June,3.3
1976,June,6.7
1977,June,5.4
1978,June,13.0
1979,June,11.0
1980,June,3.2
1981,June,10.5
1982,June,6.5
1983,June,5.6
1984,June,11.8
1985,June,0.1
1986,June,4.7
1987,June,12.7
1988,June,7.2
1989,June,4.9
1990,June,6.8
1991,June,1.5
1992,June,4.4
1993,June,11.2
1994,June,1.2
1995,June,6.5
1996,June,1.9
1997,June,1.9
1998,June,4.5
1999,June,8.7
2000,June,4.3
2001,June,6.1
2002,June,6.0
2003,June,3.6
2004,June,4.2
2005,June,10.3
2006,June,10.5
2007,June,8.3
2008,June,3.8
2009,June,14.5
2010,June,20.8
2011,June,9.9
2012,June,0.5
2013,June,10.5
2014,June,2.5
2015,June,2.4
2016,June,1.7
2017,June,9.8
1972,July,5.3
1973,July,10.8
1974,July,8.6
1975,July,5.6
1976,July,5.5
1977,July,5.4
1978,July,11.7
1979,July,11.9
1980,July,9.9
1981,July,10.0
1982,July,8.1
1983,July,13.0
1984,July,5.7
1985,July,4.7
1986,July,8.3
1987,July,4.0
1988,July,12.2
1989,July,8.3
1990,July,5.9
1991,July,4.3
1992,July,4.1
1993,July,10.7
1994,July,2.6
1995,July,12.3
1996,July,13.8
1997,July,6.8
1998,July,10.1
1999,July,11.4
2000,July,6.6
2001,July,8.8
2002,July,5.1
2003,July,8.1
2004,July,8.8
2005,July,20.2
2006,July,14.1
2007,July,5.6
2008,July,5.7
2009,July,6.4
2010,July,30.0
2011,July,18.5
2012,July,11.6
2013,July,7.8
2014,July,5.7
2015,July,1.8
2016,July,7.2
2017,July,15.3
1972,August,8.6
1973,August,8.5
1974,August,17.8
1975,August,5.4
1976,August,11.4
1977,August,8.8
1978,August,15.1
1979,August,19.9
1980,August,9.8
1981,August,8.2
1982,August,7.3
1983,August,19.8
1984,August,13.2
1985,August,7.3
1986,August,12.0
1987,August,5.8
1988,August,19.0
1989,August,20.0
1990,August,12.4
1991,August,7.0
1992,August,6.3
1993,August,2.8
1994,August,3.5
1995,August,10.1
1996,August,6.9
1997,August,14.3
1998,August,11.5
1999,August,11.4
2000,August,11.0
2001,August,15.4
2002,August,11.4
2003,August,4.8
2004,August,6.9
2005,August,6.9
2006,August,14.7
2007,August,12.5
2008,August,28.5
2009,August,6.2
2010,August,17.1
2011,August,29.9
2012,August,14.1
2013,August,10.6
2014,August,26.9
2015,August,7.7
2016,August,7.3
2017,August,18.9
1972,September,10.8
1973,September,15.4
1974,September,18.6
1975,September,16.5
1976,September,13.6
1977,September,21.2
1978,September,22.1
1979,September,42.3
1980,September,12.0
1981,September,21.1
1982,September,14.2
1983,September,5.4
1984,September,11.1
1985,September,7.7
1986,September,2.0
1987,September,6.1
1988,September,21.8
1989,September,40.3
1990,September,8.3
1991,September,9.4
1992,September,10.8
1993,September,15.5
1994,September,10.2
1995,September,24.9
1996,September,16.9
1997,September,15.8
1998,September,16.2
1999,September,15.8
2000,September,7.4
2001,September,15.8
2002,September,15.4
2003,September,15.8
2004,September,30.1
2005,September,7.1
2006,September,8.6
2007,September,12.5
2008,September,25.8
2009,September,7.5
2010,September,8.7
2011,September,17.1
2012,September,6.6
2013,September,20.1
2014,September,8.7
2015,September,8.8
2016,September,12.6
2017,September,54.5
1972,October,6.9
1973,October,12.9
1974,October,30.5
1975,October,11.6
1976,October,11.9
1977,October,21.0
1978,October,21.3
1979,October,7.3
1980,October,19.1
1981,October,12.9
1982,October,11.0
1983,October,6.1
1984,October,8.3
1985,October,32.2
1986,October,10.0
1987,October,9.5
1988,October,14.0
1989,October,3.5
1990,October,27.0
1991,October,5.6
1992,October,14.5
1993,October,8.1
1994,October,6.1
1995,October,11.7
1996,October,2.7
1997,October,15.2
1998,October,12.5
1999,October,14.4
2000,October,12.5
2001,October,17.9
2002,October,9.1
2003,October,6.8
2004,October,7.6
2005,October,17.8
2006,October,21.4
2007,October,29.0
2008,October,29.6
2009,October,4.7
2010,October,44.8
2011,October,4.2
2012,October,8.2
2013,October,11.6
2014,October,9.2
2015,October,14.9
2016,October,12.0
2017,October,34.6
1972,November,7.4
1973,November,5.8
1974,November,24.3
1975,November,14.4
1976,November,3.9
1977,November,27.0
1978,November,10.9
1979,November,29.3
1980,November,6.7
1981,November,13.5
1982,November,18.1
1983,November,20.1
1984,November,40.6
1985,November,9.4
1986,November,19.7
1987,November,21.7
1988,November,13.0
1989,November,4.3
1990,November,8.1
1991,November,19.3
1992,November,25.2
1993,November,21.2
1994,November,8.6
1995,November,4.5
1996,November,26.4
1997,November,10.2
1998,November,18.6
1999,November,24.2
2000,November,16.4
2001,November,9.6
2002,November,8.3
2003,November,48.0
2004,November,17.0
2005,November,7.0
2006,November,5.4
2007,November,6.8
2008,November,8.7
2009,November,10.9
2010,November,22.8
2011,November,14.2
2012,November,13.8
2013,November,26.5
2014,November,19.7
2015,November,24.2
2016,November,35.3
2017,November,17.9
1972,December,11.6
1973,December,5.8
1974,December,6.1
1975,December,19.2
1976,December,11.8
1977,December,9.9
1978,December,6.5
1979,December,4.2
1980,December,7.2
1981,December,24.7
1982,December,10.3
1983,December,9.8
1984,December,6.6
1985,December,3.9
1986,December,7.8
1987,December,11.2
1988,December,10.1
1989,December,5.1
1990,December,7.1
1991,December,4.4
1992,December,13.5
1993,December,5.1
1994,December,6.6
1995,December,15.1
1996,December,2.6
1997,December,2.9
1998,December,8.7
1999,December,13.6
2000,December,6.2
2001,December,16.6
2002,December,7.1
2003,December,10.7
2004,December,8.1
2005,December,6.9
2006,December,7.6
2007,December,12.8
2008,December,3.9
2009,December,10.2
2010,December,2.3
2011,December,9.5
2012,December,5.3
2013,December,17.5
2014,December,4.4
2015,December,12.3
2016,December,10.7
2017,December,5.7
1972,Total,99.5
1973,Total,93.2
1974,Total,139.7
1975,Total,106.4
1976,Total,94.2
1977,Total,120.4
1978,Total,145.3
1979,Total,189.6
1980,Total,103.4
1981,Total,159.8
1982,Total,124.2
1983,Total,130.7
1984,Total,125.0
1985,Total,94.6
1986,Total,127.3
1987,Total,107.6
1988,Total,124.2
1989,Total,117.8
1990,Total,106.4
1991,Total,86.0
1992,Total,122.6
1993,Total,111.6
1994,Total,68.1
1995,Total,102.4
1996,Total,116.3
1997,Total,92.5
1998,Total,123.5
1999,Total,124.2
2000,Total,100.2
2001,Total,128.0
2002,Total,94.5
2003,Total,137.7
2004,Total,120.9
2005,Total,111.3
2006,Total,114.2
2007,Total,130.7
2008,Total,141.0
2009,Total,107.4
2010,Total,186.0
2011,Total,140.4
2012,Total,91.0
2013,Total,141.7
2014,Total,127.5
2015,Total,96.9
2016,Total,117
2017,Total,194
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
