"","year","site","count"
"1",1987,"Tektite",62
"2",1987,"Yawzi",45
"3",1988,"Tektite",75
"4",1988,"Yawzi",53
"5",1989,"Tektite",61
"6",1989,"Yawzi",35
"7",1990,"Tektite",52
"8",1990,"Yawzi",29
"9",1991,"Tektite",47
"10",1991,"Yawzi",40
"11",1992,"Tektite",49
"12",1992,"Yawzi",27
"13",1993,"Tektite",45
"14",1993,"Yawzi",25
"15",1994,"Tektite",48
"16",1994,"Yawzi",30
"17",1995,"Tektite",56
"18",1995,"Yawzi",24
"19",1996,"Tektite",52
"20",1996,"Yawzi",12
"21",1997,"Tektite",31
"22",1997,"Yawzi",16
"23",1998,"Tektite",40
"24",1998,"Yawzi",15
"25",1999,"Tektite",33
"26",1999,"Yawzi",19
"27",2000,"Tektite",25
"28",2000,"Yawzi",14
"29",2001,"Tektite",23
"30",2001,"Yawzi",26
"31",2002,"Tektite",18
"32",2002,"Yawzi",29
"33",2003,"Tektite",24
"34",2003,"Yawzi",21
"35",2004,"Tektite",24
"36",2004,"Yawzi",15
"37",2005,"Tektite",39
"38",2005,"Yawzi",30
"39",2006,"Tektite",34
"40",2006,"Yawzi",39
"41",2007,"Tektite",33
"42",2007,"Yawzi",40
"43",2008,"Tektite",28
"44",2008,"Yawzi",52
"45",2009,"Tektite",36
"46",2009,"Yawzi",62
"47",2010,"Tektite",47
"48",2010,"Yawzi",78
"49",2011,"Tektite",44
"50",2011,"Yawzi",66
"51",2012,"Tektite",44
"52",2012,"Yawzi",63
"53",2013,"Tektite",44
"54",2013,"Yawzi",77
