site;quadrat;year;percentCover_all;percentCover_macroalgae;percentCover_CTB;Orbicella;Montastrea_cavernosa;Agaricia;Colpophyllia;Dendrogyra;Dichocoenia;Diploria;Eusmilia;Favia;Madracis;Meandrina;Mussa;Porites;Stephanocoenia;Siderastrea;Manicina;Mycetopohyllia;Acropora;Isophyllia;Scolymia;Millepora
Cabritte Horn;1;1992;1.60;4.20;10.40;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;2;1992;8.20;8.10;19.80;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;6.20;0.00;1.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;3;1992;8.50;6.10;7.60;0.80;0.00;3.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.80;4.70;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;4;1992;5.70;11.20;6.10;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.70;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;5;1992;12.90;5.90;2.10;0.00;0.00;6.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;6;1992;9.00;1.60;3.10;0.00;0.00;7.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;7;1992;5.00;1.60;0.50;0.00;0.00;3.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;8;1992;0.00;4.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;9;1992;0.00;1.00;14.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;10;1992;0.00;4.20;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;11;1992;3.10;5.70;22.20;0.00;2.10;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;12;1992;18.40;6.20;60.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10;17.40;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;13;1992;20.00;5.70;28.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.50;0.00;14.50;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;14;1992;4.50;11.00;2.60;4.50;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;15;1992;4.70;2.60;13.10;3.10;0.00;4.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;16;1992;7.00;9.70;9.70;0.00;0.00;2.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.90;0.00;0.00;0.00;0.00;0.00;999
Cabritte Horn;17;1992;6.20;4.70;11.50;8.30;0.00;3.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;1;1992;7.20;14.90;18.00;5.10;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;2;1992;1.60;6.80;10.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;3;1992;4.10;23.70;47.40;2.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.70;0.00;0.00;0.00;0.00;0.00;999
East Tektite;4;1992;7.40;3.10;50.80;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;3.70;2.60;0.00;0.00;0.00;0.00;0.00;999
East Tektite;5;1992;3.10;1.00;55.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.10;0.00;0.00;0.00;0.00;0.00;999
East Tektite;6;1992;12.90;1.00;19.00;0.00;12.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;7;1992;0.00;10.40;49.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;8;1992;0.00;1.50;86.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;9;1992;0.00;26.50;54.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;10;1992;6.00;27.90;27.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;11;1992;19.60;30.30;20.20;17.10;0.50;1.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;12;1992;0.00;16.70;8.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;13;1992;0.00;9.70;80.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;14;1992;7.50;21.80;41.60;5.50;0.00;0.00;0.00;0.00;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;15;1992;2.50;20.80;38.50;0.00;0.00;2.00;0.00;0.00;0.00;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
East Tektite;16;1992;37.50;5.10;30.60;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;36.50;0.00;0.00;0.00;0.00;0.00;999
East Tektite;17;1992;1.60;24.40;45.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;1;1992;0.00;3.20;53.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;2;1992;0.00;0.00;54.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999
Europa Bay;3;1992;2.10;0.00;29.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.10;0.00;0.00;0.00;0.00;0.00;999
