Date;site;transect;quadrat;percentCover_allCoral;percentCover_macroalgae;percentCover_CTB
01/12/1987;Tektite;1;T1Q1;16.5;3.5;6
01/12/1987;Tektite;1;T1Q2;10;6;74
01/12/1987;Tektite;1;T1Q3;13.5;3.5;45
01/12/1987;Tektite;1;T1Q4;15.5;6.5;61.5
01/12/1987;Tektite;1;T1Q5;19;4;48
01/12/1987;Tektite;1;T1Q6;13.5;14.5;10
01/12/1987;Tektite;1;T1Q7;23.5;12;3
01/12/1987;Tektite;1;T1Q8;38;4;29
01/12/1987;Tektite;1;T1Q9;31.5;7.5;38
01/12/1987;Tektite;1;T1Q10;36;4.5;30.5
01/12/1987;Tektite;2;T2Q1;46.5;9.5;29
01/12/1987;Tektite;2;T2Q2;36.5;13;31.5
01/12/1987;Tektite;2;T2Q3;9.5;7.5;26
01/12/1987;Tektite;2;T2Q4;30;1;24
01/12/1987;Tektite;2;T2Q5;47.5;5.5;10
01/12/1987;Tektite;2;T2Q6;42.5;4.5;11.5
01/12/1987;Tektite;2;T2Q7;51.5;3.5;6
01/12/1987;Tektite;2;T2Q8;53;1.5;14.5
01/12/1987;Tektite;2;T2Q9;39;2;19
01/12/1987;Tektite;2;T2Q10;33.5;6.5;15.5
01/12/1987;Tektite;3;T3Q1;27;13;22
01/12/1987;Tektite;3;T3Q2;43.5;1;16
01/12/1987;Tektite;3;T3Q3;58.6;4.7;19.3
01/12/1987;Tektite;3;T3Q4;30.5;6.5;31
01/12/1987;Tektite;3;T3Q5;25.5;8;31
01/12/1987;Tektite;3;T3Q6;18;5.5;39
01/12/1987;Tektite;3;T3Q7;44;2;30
01/12/1987;Tektite;3;T3Q8;50.5;3.5;19.5
01/12/1987;Tektite;3;T3Q9;33.5;3;14.5
01/12/1987;Tektite;3;T3Q10;29;8.5;20.5
01/03/1988;Tektite;1;T1Q1;19.5;0.5;44.5
01/03/1988;Tektite;1;T1Q2;11;0;63
01/03/1988;Tektite;1;T1Q3;13.5;14.5;39.5
01/03/1988;Tektite;1;T1Q4;13.5;6;46
01/03/1988;Tektite;1;T1Q5;13.5;5.5;62
01/03/1988;Tektite;1;T1Q6;14;19;19
