Date;Site;Type;Somme;Mean
01/01/1987;Tektite;Octocorallian;62;31
01/01/1987;Yawzi;Octocorallian;45;22,5
01/01/1988;Tektite;Octocorallian;75;37,5
01/01/1988;Yawzi;Octocorallian;53;26,5
01/01/1989;Tektite;Octocorallian;61;30,5
01/01/1989;Yawzi;Octocorallian;35;17,5
01/01/1990;Tektite;Octocorallian;52;26
01/01/1990;Yawzi;Octocorallian;29;14,5
01/01/1991;Tektite;Octocorallian;47;23,5
01/01/1991;Yawzi;Octocorallian;40;20
01/01/1992;Tektite;Octocorallian;49;24,5
01/01/1992;Yawzi;Octocorallian;27;13,5
01/01/1993;Tektite;Octocorallian;45;22,5
01/01/1993;Yawzi;Octocorallian;25;12,5
01/01/1994;Tektite;Octocorallian;48;24
01/01/1994;Yawzi;Octocorallian;30;15
01/01/1995;Tektite;Octocorallian;56;28
01/01/1995;Yawzi;Octocorallian;24;12
01/01/1996;Tektite;Octocorallian;52;26
01/01/1996;Yawzi;Octocorallian;12;6
01/01/1997;Tektite;Octocorallian;31;15,5
01/01/1997;Yawzi;Octocorallian;16;8
01/01/1998;Tektite;Octocorallian;40;20
01/01/1998;Yawzi;Octocorallian;15;7,5
01/01/1999;Tektite;Octocorallian;33;16,5
01/01/1999;Yawzi;Octocorallian;19;9,5
01/01/2000;Tektite;Octocorallian;25;12,5
01/01/2000;Yawzi;Octocorallian;14;7
01/01/2001;Tektite;Octocorallian;23;11,5
01/01/2001;Yawzi;Octocorallian;26;13
01/01/2002;Tektite;Octocorallian;18;9
01/01/2002;Yawzi;Octocorallian;29;14,5
01/01/2003;Tektite;Octocorallian;24;12
01/01/2003;Yawzi;Octocorallian;21;10,5
01/01/2004;Tektite;Octocorallian;24;12
01/01/2004;Yawzi;Octocorallian;15;7,5
01/01/2005;Tektite;Octocorallian;39;19,5
01/01/2005;Yawzi;Octocorallian;30;15
01/01/2006;Tektite;Octocorallian;34;17
01/01/2006;Yawzi;Octocorallian;39;19,5
01/01/2007;Tektite;Octocorallian;33;16,5
01/01/2007;Yawzi;Octocorallian;40;20
01/01/2008;Tektite;Octocorallian;28;14
01/01/2008;Yawzi;Octocorallian;52;26
01/01/2009;Tektite;Octocorallian;36;18
01/01/2009;Yawzi;Octocorallian;62;31
01/01/2010;Tektite;Octocorallian;47;23,5
01/01/2010;Yawzi;Octocorallian;78;39
01/01/2011;Tektite;Octocorallian;44;22
01/01/2011;Yawzi;Octocorallian;66;33
01/01/2012;Tektite;Octocorallian;44;22
01/01/2012;Yawzi;Octocorallian;63;31,5
01/01/2013;Tektite;Octocorallian;44;22
01/01/2013;Yawzi;Octocorallian;77;38,5
