site;year;transect;slide;taxa;count
Yawzi;1987;1;1;Briareum;0
Yawzi;1987;1;2;Briareum;1
Yawzi;1987;1;3;Briareum;0
Yawzi;1987;1;4;Briareum;0
Yawzi;1987;1;5;Briareum;0
Yawzi;1987;1;6;Briareum;0
Yawzi;1987;1;7;Briareum;0
Yawzi;1987;1;8;Briareum;0
Yawzi;1987;1;9;Briareum;0
Yawzi;1987;1;10;Briareum;0
Yawzi;1987;3;21;Briareum;0
Yawzi;1987;3;22;Briareum;0
Yawzi;1987;3;23;Briareum;0
Yawzi;1987;3;24;Briareum;0
Yawzi;1987;3;25;Briareum;0
Yawzi;1987;3;26;Briareum;0
Yawzi;1987;3;27;Briareum;0
Yawzi;1987;3;28;Briareum;0
Yawzi;1987;3;29;Briareum;1
Yawzi;1987;3;30;Briareum;1
Yawzi;1988;1;1;Briareum;0
Yawzi;1988;1;2;Briareum;0
Yawzi;1988;1;3;Briareum;0
Yawzi;1988;1;4;Briareum;0
Yawzi;1988;1;5;Briareum;0
Yawzi;1988;1;6;Briareum;0
Yawzi;1988;1;7;Briareum;0
Yawzi;1988;1;8;Briareum;0
Yawzi;1988;1;9;Briareum;0
Yawzi;1988;1;10;Briareum;1
Yawzi;1988;3;21;Briareum;0
Yawzi;1988;3;22;Briareum;0
Yawzi;1988;3;23;Briareum;0
Yawzi;1988;3;24;Briareum;0
Yawzi;1988;3;25;Briareum;0
Yawzi;1988;3;26;Briareum;0
Yawzi;1988;3;27;Briareum;0
Yawzi;1988;3;28;Briareum;0
Yawzi;1988;3;29;Briareum;1
Yawzi;1988;3;30;Briareum;0
Yawzi;1989;1;1;Briareum;0
Yawzi;1989;1;2;Briareum;0
Yawzi;1989;1;3;Briareum;0
Yawzi;1989;1;4;Briareum;0
Yawzi;1989;1;5;Briareum;0
Yawzi;1989;1;6;Briareum;0
Yawzi;1989;1;7;Briareum;0
Yawzi;1989;1;8;Briareum;0
Yawzi;1989;1;9;Briareum;0
Yawzi;1989;1;10;Briareum;0
Yawzi;1989;3;11;Briareum;0
Yawzi;1989;3;12;Briareum;0
Yawzi;1989;3;13;Briareum;0
Yawzi;1989;3;14;Briareum;0
Yawzi;1989;3;15;Briareum;0
Yawzi;1989;3;16;Briareum;0
Yawzi;1989;3;17;Briareum;0
Yawzi;1989;3;18;Briareum;0
Yawzi;1990;1;1;Briareum;0
Yawzi;1990;1;2;Briareum;0
Yawzi;1990;1;3;Briareum;0
Yawzi;1990;1;4;Briareum;0
Yawzi;1990;1;5;Briareum;0
Yawzi;1990;1;6;Briareum;0
Yawzi;1990;1;7;Briareum;0
Yawzi;1990;1;8;Briareum;0
Yawzi;1990;1;9;Briareum;0
Yawzi;1990;1;10;Briareum;0
Yawzi;1990;3;21;Briareum;0
Yawzi;1990;3;22;Briareum;0
Yawzi;1990;3;23;Briareum;0
Yawzi;1990;3;24;Briareum;0
Yawzi;1990;3;25;Briareum;0
Yawzi;1990;3;26;Briareum;0
Yawzi;1990;3;27;Briareum;0
Yawzi;1990;3;28;Briareum;0
Yawzi;1990;3;29;Briareum;0
Yawzi;1990;3;30;Briareum;0
Yawzi;1991;1;1;Briareum;0
Yawzi;1991;1;2;Briareum;0
Yawzi;1991;1;3;Briareum;0
Yawzi;1991;1;4;Briareum;0
