Site,Quadrat,Year,Acropora,Agaricia,Colpophyllia,Dichocoenia,Diploria,Eusmilia,Favia,Helioseris,Isophyllastrea,Madracis,Manicina,Meandrina,Montastraea,Mycetophyllia,Porites,Scolymia,Siderastrea,Stephanocoenia,Orbicella
Cabritte Horn,1,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,2,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0
Cabritte Horn,3,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Cabritte Horn,4,1999,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,5,1999,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Cabritte Horn,6,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cabritte Horn,7,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,8,1999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,9,1999,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Cabritte Horn,10,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,11,1999,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Cabritte Horn,12,1999,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,13,1999,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cabritte Horn,14,1999,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,15,1999,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,16,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,17,1999,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,18,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,19,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,20,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cabritte Horn,21,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,22,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,23,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cabritte Horn,24,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,25,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,26,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,27,1999,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,28,1999,0,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0
Cabritte Horn,29,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,30,1999,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,31,1999,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0
Cabritte Horn,32,1999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,33,1999,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,34,1999,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cabritte Horn,35,1999,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,36,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Cabritte Horn,37,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Cabritte Horn,38,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,39,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabritte Horn,40,1999,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
Cabritte Horn,1,2000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
