Site,Year,Total,Siderastreidae,Faviidae,Agaricidae,Poritidae,Acroporidae,Other,Astrangia
Cabritte,2009,1,0,1,0,0,0,0,0
Cabritte,2009,1,0,0,0,1,0,0,0
Cabritte,2009,1,0,0,0,1,0,0,0
Cabritte,2009,1,0,0,0,1,0,0,0
Cabritte,2009,2,0,0,0,1,0,1,0
Cabritte,2009,8,2,0,1,3,0,2,0
Cabritte,2009,5,0,0,0,3,0,2,0
Cabritte,2009,4,2,0,0,0,0,2,0
Cabritte,2009,12,1,0,3,5,0,3,0
Cabritte,2009,6,0,0,0,3,0,3,0
Cabritte,2009,8,1,0,1,2,0,4,0
Cabritte,2009,9,0,0,2,3,0,4,0
Cabritte,2009,8,0,0,0,4,0,4,0
Cabritte,2009,6,1,0,1,0,0,4,0
Cabritte,2009,14,1,0,4,2,0,7,0
Tektite,2009,5,3,1,1,0,0,0,0
Tektite,2009,1,1,0,0,0,0,0,0
Tektite,2009,5,0,0,5,0,0,0,0
Tektite,2009,0,0,0,0,0,0,0,0
Tektite,2009,3,1,0,2,0,0,0,0
Tektite,2009,3,1,0,2,0,0,0,0
Tektite,2009,15,7,0,8,0,0,0,0
Tektite,2009,7,5,0,1,1,0,0,0
Tektite,2009,3,0,0,1,2,0,0,0
Tektite,2009,7,0,4,1,1,0,1,0
Tektite,2009,3,0,0,2,0,0,1,0
Tektite,2009,2,0,1,0,0,0,1,0
Tektite,2009,8,0,0,0,5,0,3,0
Tektite,2009,9,0,0,2,3,0,4,0
Tektite,2009,15,3,0,4,2,0,6,0
West Little Lameshur,2009,3,1,0,0,1,0,1,0
West Little Lameshur,2009,0,0,0,0,0,0,0,0
West Little Lameshur,2009,1,0,0,0,1,0,0,0
West Little Lameshur,2009,1,0,0,0,1,0,0,0
West Little Lameshur,2009,1,0,0,0,1,0,0,0
West Little Lameshur,2009,1,0,0,0,1,0,0,0
West Little Lameshur,2009,1,0,0,0,1,0,0,0
West Little Lameshur,2009,1,0,0,0,0,0,1,0
West Little Lameshur,2009,3,0,0,0,2,0,1,0
West Little Lameshur,2009,3,0,0,0,2,0,1,0
West Little Lameshur,2009,2,0,0,1,0,0,1,0
West Little Lameshur,2009,8,0,0,0,7,0,1,0
West Little Lameshur,2009,2,0,0,0,0,0,2,0
West Little Lameshur,2009,7,1,0,0,4,0,2,0
West Little Lameshur,2009,3,0,0,0,1,0,2,0
White Point,2009,3,1,0,1,1,0,0,0
White Point,2009,1,0,0,0,1,0,0,0
White Point,2009,0,0,0,0,0,0,0,0
White Point,2009,0,0,0,0,0,0,0,0
White Point,2009,0,0,0,0,0,0,0,0
White Point,2009,5,3,1,1,0,0,0,0
White Point,2009,1,0,0,0,1,0,0,0
White Point,2009,3,0,0,0,2,0,1,0
White Point,2009,3,1,0,0,1,0,1,0
White Point,2009,4,1,0,0,2,0,1,0
White Point,2009,2,0,0,0,1,0,1,0
White Point,2009,1,0,0,0,0,0,1,0
White Point,2009,3,1,1,0,0,0,1,0
White Point,2009,4,0,0,1,0,0,3,0
White Point,2009,7,1,1,0,1,0,4,0
Yawzi Point,2009,10,1,0,1,8,0,0,0
Yawzi Point,2009,3,0,0,0,3,0,0,0
Yawzi Point,2009,5,0,0,1,3,0,1,0
Yawzi Point,2009,3,1,0,0,1,0,1,0
Yawzi Point,2009,13,7,0,0,4,0,2,0
Yawzi Point,2009,6,2,0,0,2,0,2,0
Yawzi Point,2009,8,4,0,0,1,0,3,0
Yawzi Point,2009,9,0,0,2,4,0,3,0
Yawzi Point,2009,11,5,0,0,2,0,4,0
Yawzi Point,2009,11,2,0,0,5,0,4,0
Yawzi Point,2009,11,3,0,1,3,0,4,0
Yawzi Point,2009,13,5,0,2,2,0,4,0
Yawzi Point,2009,27,12,0,5,3,0,7,0
Yawzi Point,2009,10,2,0,0,1,0,7,0
Yawzi Point,2009,24,5,0,2,6,0,11,0
Cabritte,2010,4,1,0,0,3,0,0,0
Cabritte,2010,0,0,0,0,0,0,0,0
Cabritte,2010,4,4,0,0,0,0,0,0
Cabritte,2010,0,0,0,0,0,0,0,0
Cabritte,2010,0,0,0,0,0,0,0,0
Cabritte,2010,2,1,1,0,0,0,0,0
Cabritte,2010,7,3,0,1,3,0,0,0
Cabritte,2010,1,0,0,0,1,0,0,0
Cabritte,2010,2,0,0,1,0,0,1,0
Cabritte,2010,5,2,0,0,2,0,1,0
Cabritte,2010,9,6,1,0,1,0,1,0
Cabritte,2010,6,3,0,0,2,0,1,0
Cabritte,2010,5,0,0,0,3,0,2,0
Cabritte,2010,3,0,1,0,0,0,2,0
Cabritte,2010,12,4,1,1,3,0,3,0
Tektite,2010,11,8,0,1,2,0,0,0
Tektite,2010,3,1,0,1,1,0,0,0
Tektite,2010,2,0,0,1,1,0,0,0
Tektite,2010,2,1,0,0,1,0,0,0
Tektite,2010,3,1,1,0,1,0,0,0
Tektite,2010,3,1,0,0,2,0,0,0
Tektite,2010,8,6,0,1,0,0,1,0
Tektite,2010,5,2,0,1,1,0,1,0
Tektite,2010,3,1,0,0,1,0,1,0
Tektite,2010,8,5,1,0,1,0,1,0
Tektite,2010,4,3,0,0,0,0,1,0
Tektite,2010,4,0,0,1,2,0,1,0
Tektite,2010,3,2,0,0,0,0,1,0
Tektite,2010,6,2,0,1,1,0,2,0
Tektite,2010,12,2,0,0,5,0,5,0
West Little Lameshur,2010,0,0,0,0,0,0,0,0
West Little Lameshur,2010,0,0,0,0,0,0,0,0
West Little Lameshur,2010,2,0,1,0,1,0,0,0
West Little Lameshur,2010,1,1,0,0,0,0,0,0
West Little Lameshur,2010,0,0,0,0,0,0,0,0
West Little Lameshur,2010,1,0,0,0,1,0,0,0
West Little Lameshur,2010,0,0,0,0,0,0,0,0
West Little Lameshur,2010,1,0,1,0,0,0,0,0
West Little Lameshur,2010,1,0,0,0,1,0,0,0
West Little Lameshur,2010,0,0,0,0,0,0,0,0
West Little Lameshur,2010,1,0,0,0,1,0,0,0
West Little Lameshur,2010,1,0,0,0,0,0,1,0
West Little Lameshur,2010,3,0,1,1,0,0,1,0
West Little Lameshur,2010,4,1,0,0,1,0,2,0
West Little Lameshur,2010,7,0,1,0,3,0,3,0
White Point,2010,1,0,0,1,0,0,0,0
White Point,2010,1,0,0,0,1,0,0,0
White Point,2010,0,0,0,0,0,0,0,0
White Point,2010,2,0,1,1,0,0,0,0
White Point,2010,0,0,0,0,0,0,0,0
White Point,2010,1,0,0,1,0,0,0,0
White Point,2010,1,0,0,0,1,0,0,0
White Point,2010,2,0,1,0,0,0,1,0
White Point,2010,2,0,0,0,1,0,1,0
White Point,2010,4,1,0,1,1,0,1,0
White Point,2010,5,2,0,1,1,0,1,0
White Point,2010,5,0,1,1,2,0,1,0
White Point,2010,5,0,0,0,3,0,2,0
White Point,2010,6,2,0,0,2,0,2,0
White Point,2010,6,2,0,1,0,0,3,0
Yawzi Point,2010,6,5,0,0,1,0,0,0
Yawzi Point,2010,2,0,0,0,2,0,0,0
Yawzi Point,2010,1,1,0,0,0,0,0,0
Yawzi Point,2010,3,1,0,0,2,0,0,0
Yawzi Point,2010,1,1,0,0,0,0,0,0
Yawzi Point,2010,9,6,1,0,2,0,0,0
Yawzi Point,2010,10,3,0,2,4,0,1,0
Yawzi Point,2010,12,4,0,1,6,0,1,0
Yawzi Point,2010,9,4,0,0,3,0,2,0
Yawzi Point,2010,20,13,0,0,5,0,2,0
Yawzi Point,2010,25,10,0,0,13,0,2,0
Yawzi Point,2010,8,2,0,0,3,0,3,0
Yawzi Point,2010,5,1,0,1,0,0,3,0
Yawzi Point,2010,7,1,0,2,1,0,3,0
Yawzi Point,2010,20,9,0,0,3,0,8,0
Cabritte,2011,2,1,0,0,1,0,0,0
Cabritte,2011,0,0,0,0,0,0,0,0
Cabritte,2011,1,0,0,0,1,0,0,0
Cabritte,2011,2,0,0,0,2,0,0,0
Cabritte,2011,1,0,0,0,1,0,0,0
Cabritte,2011,7,4,2,1,0,0,0,0
Cabritte,2011,3,1,2,0,0,0,0,0
Cabritte,2011,3,0,0,0,3,0,0,0
Cabritte,2011,0,0,0,0,0,0,0,0
Cabritte,2011,3,0,0,1,1,0,1,0
Cabritte,2011,5,1,0,0,3,0,1,0
Cabritte,2011,5,1,0,0,3,0,1,0
Cabritte,2011,3,1,0,0,1,0,1,0
Cabritte,2011,2,0,0,1,0,0,1,0
Cabritte,2011,12,0,0,2,8,0,2,0
Tektite,2011,0,0,0,0,0,0,0,0
Tektite,2011,3,1,0,1,1,0,0,0
Tektite,2011,5,1,0,2,2,0,0,0
Tektite,2011,1,1,0,0,0,0,0,0
Tektite,2011,0,0,0,0,0,0,0,0
Tektite,2011,1,0,0,1,0,0,0,0
Tektite,2011,2,1,0,1,0,0,0,0
Tektite,2011,1,0,0,0,1,0,0,0
Tektite,2011,1,0,0,1,0,0,0,0
Tektite,2011,0,0,0,0,0,0,0,0
Tektite,2011,3,1,0,0,2,0,0,0
Tektite,2011,3,1,0,0,1,0,1,0
Tektite,2011,2,1,0,0,0,0,1,0
Tektite,2011,3,0,0,0,0,0,3,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,1,0,0,1,0,0,0,0
West Little Lameshur,2011,4,3,0,0,1,0,0,0
West Little Lameshur,2011,4,4,0,0,0,0,0,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,1,0,0,0,1,0,0,0
West Little Lameshur,2011,2,0,0,0,2,0,0,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,0,0,0,0,0,0,0,0
West Little Lameshur,2011,1,0,0,0,0,0,1,0
West Little Lameshur,2011,1,0,0,0,0,0,1,0
White Point,2011,1,0,0,0,1,0,0,0
White Point,2011,0,0,0,0,0,0,0,0
White Point,2011,6,0,0,2,4,0,0,0
White Point,2011,0,0,0,0,0,0,0,0
White Point,2011,0,0,0,0,0,0,0,0
White Point,2011,3,2,0,1,0,0,0,0
White Point,2011,1,0,0,1,0,0,0,0
White Point,2011,0,0,0,0,0,0,0,0
White Point,2011,0,0,0,0,0,0,0,0
White Point,2011,3,0,0,1,2,0,0,0
White Point,2011,4,2,0,1,0,0,1,0
White Point,2011,6,2,0,3,0,0,1,0
White Point,2011,3,0,0,1,1,0,1,0
White Point,2011,6,2,0,1,1,0,2,0
White Point,2011,5,0,0,0,2,0,3,0
